Event_ID,Timestamp,Gate_ID,Ticket_Class,Purchase_Type,Staff_On_Duty,Gate_Status,Alerts,Total_Attendance,Zone_Attendance,Sellout_Rate(%),Drill_Timestamp,Evacuation_Time(min),Congestion_Hotspot
1029,06/03/2024 15:30,North,Regular,Pre,14,Open,None,53285,11957,100,06/04/2024 15:30,4.6,Z3
1030,06/03/2024 15:40,North,Regular,At-Gate,10,Open,None,53285,9751,100,06/04/2024 15:40,4.19,Z7
1031,06/03/2024 15:50,North,Regular,At-Gate,16,Open,None,53285,9945,100,06/04/2024 15:50,5.94,Z8
1032,06/03/2024 16:00,North,Regular,Pre,11,Open,None,53285,3336,100,06/04/2024 16:00,4.05,Z5
1033,06/03/2024 16:10,North,Regular,At-Gate,21,Open,None,53285,5347,100,06/04/2024 16:10,3.63,Z1
1034,06/03/2024 16:20,North,Regular,Pre,15,Open,None,53285,9367,100,06/04/2024 16:20,3.52,Z8
1035,06/03/2024 16:30,North,Regular,Pre,12,Open,None,53285,10990,100,06/04/2024 16:30,6.82,Z4
1036,06/03/2024 16:40,North,Regular,At-Gate,17,Open,None,53285,5662,100,06/04/2024 16:40,7.05,Z6
1037,06/03/2024 16:50,North,Regular,At-Gate,18,Open,None,53285,9822,100,06/04/2024 16:50,4.39,Z4
1038,06/03/2024 17:00,North,Regular,Pre,14,Open,None,53285,10854,100,06/04/2024 17:00,3.93,Z8
1039,06/03/2024 17:10,North,Regular,Pre,5,Open,None,53285,13382,100,06/04/2024 17:10,5.11,Z4
1040,06/04/2024 12:00,North,VIP,Pre,18,Open,None,47620,14378,95,06/05/2024 12:00,5.61,Z8
1041,06/04/2024 12:10,North,VIP,Pre,20,Open,None,47620,4369,95,06/05/2024 12:10,3.75,Z6
1042,06/04/2024 12:20,North,VIP,At-Gate,16,Open,None,47620,5950,95,06/05/2024 12:20,7.54,Z6
1043,06/04/2024 12:30,North,VIP,At-Gate,10,Open,None,47620,8841,95,06/05/2024 12:30,4.47,Z9
1044,06/04/2024 12:40,North,VIP,Pre,12,Open,None,47620,3039,95,06/05/2024 12:40,3.07,Z3
1045,06/04/2024 12:50,North,VIP,Pre,12,Open,None,47620,11688,95,06/05/2024 12:50,5.7,Z9
1046,06/04/2024 13:00,North,VIP,At-Gate,19,Open,None,47620,7401,95,06/05/2024 13:00,5.22,Z9
1047,06/04/2024 13:10,North,VIP,Pre,8,Open,None,47620,14428,95,06/05/2024 13:10,4.83,Z2
1048,06/04/2024 13:20,North,VIP,Pre,16,Open,None,47620,10974,95,06/05/2024 13:20,3.32,Z1
1049,06/04/2024 13:30,North,VIP,At-Gate,14,Open,None,47620,6833,95,06/05/2024 13:30,7.09,Z3
1050,06/04/2024 13:40,North,VIP,Pre,21,Open,None,47620,8149,95,06/05/2024 13:40,7.15,Z2
1051,06/04/2024 13:50,North,VIP,At-Gate,20,Open,None,47620,11054,95,06/05/2024 13:50,4.75,Z2
1052,06/04/2024 14:00,North,VIP,Pre,14,Open,None,47620,12238,95,06/05/2024 14:00,3.54,Z6
1053,06/04/2024 14:10,North,VIP,At-Gate,20,Open,None,47620,12213,95,06/05/2024 14:10,3.47,Z5
1054,06/04/2024 14:20,North,VIP,At-Gate,18,Open,None,47620,10645,95,06/05/2024 14:20,3.27,Z10
1055,06/04/2024 14:30,North,VIP,Pre,13,Open,None,47620,13858,95,06/05/2024 14:30,3.05,Z3
1056,06/04/2024 14:40,North,VIP,At-Gate,20,Open,None,47620,10302,95,06/05/2024 14:40,5.73,Z6
1057,06/04/2024 14:50,North,VIP,At-Gate,18,Open,None,47620,10453,95,06/05/2024 14:50,4.98,Z7
1058,06/04/2024 15:00,North,VIP,Pre,17,Open,None,47620,5341,95,06/05/2024 15:00,4.27,Z4
1059,06/04/2024 15:10,North,VIP,At-Gate,15,Open,None,47620,14871,95,06/05/2024 15:10,4.42,Z1
1060,06/05/2024 12:00,East,Economy,At-Gate,11,Open,None,53902,15365,96,06/06/2024 12:00,7.91,Z5
1061,06/05/2024 12:10,East,Economy,Pre,13,Open,None,53902,12130,96,06/06/2024 12:10,3.04,Z4
1062,06/05/2024 12:20,East,Economy,Pre,16,Open,None,53902,4065,96,06/06/2024 12:20,5.12,Z9
1063,06/05/2024 12:30,East,Economy,At-Gate,17,Open,None,53902,8721,96,06/06/2024 12:30,3.19,Z5
1064,06/05/2024 12:40,East,Economy,Pre,13,Open,None,53902,7672,96,06/06/2024 12:40,7.15,Z3
1065,06/05/2024 12:50,East,Economy,At-Gate,17,Open,None,53902,13012,96,06/06/2024 12:50,5.64,Z3
1066,06/05/2024 13:00,East,Economy,At-Gate,17,Closed,Overcrowding,53902,20000,96,06/06/2024 13:00,7.05,Z7
1067,06/05/2024 13:10,East,Economy,At-Gate,15,Closed,Overcrowding,53902,20000,96,06/06/2024 13:10,4.83,Z2
1068,06/05/2024 13:20,East,Economy,At-Gate,19,Closed,Overcrowding,53902,18536,96,06/06/2024 13:20,4.96,Z6
1069,06/05/2024 13:30,East,Economy,At-Gate,11,Open,None,53902,10537,96,06/06/2024 13:30,4.95,Z3
1070,06/05/2024 13:40,East,Economy,Pre,12,Open,None,53902,3827,96,06/06/2024 13:40,7.78,Z3
1071,06/05/2024 13:50,East,Economy,At-Gate,24,Open,None,53902,16322,96,06/06/2024 13:50,5.9,Z2
1072,06/05/2024 14:00,East,Economy,At-Gate,20,Open,None,53902,13343,96,06/06/2024 14:00,3.0,Z5
1073,06/05/2024 14:10,East,Economy,Pre,20,Open,None,53902,8587,96,06/06/2024 14:10,5.5,Z2
1074,06/05/2024 14:20,East,Economy,Pre,17,Open,None,53902,6045,96,06/06/2024 14:20,6.25,Z4
1075,06/05/2024 14:30,East,Economy,Pre,16,Open,None,53902,8047,96,06/06/2024 14:30,6.64,Z4
1076,06/05/2024 14:40,East,Economy,Pre,9,Open,None,53902,12955,96,06/06/2024 14:40,6.03,Z2
1077,06/05/2024 14:50,East,Economy,Pre,17,Open,None,53902,3431,96,06/06/2024 14:50,5.71,Z8
1078,06/05/2024 15:00,East,Economy,Pre,16,Open,None,53902,6926,96,06/06/2024 15:00,3.8,Z9
1079,06/05/2024 15:10,East,Economy,At-Gate,15,Open,None,53902,15655,96,06/06/2024 15:10,7.33,Z5
1080,06/06/2024 14:00,West,Regular,Pre,20,Open,None,49020,11975,97,06/07/2024 14:00,4.79,Z7
1081,06/06/2024 14:10,West,Regular,At-Gate,18,Open,None,49020,14302,97,06/07/2024 14:10,6.92,Z3
1082,06/06/2024 14:20,West,Regular,Pre,10,Open,None,49020,12681,97,06/07/2024 14:20,7.05,Z6
1083,06/06/2024 14:30,West,Regular,At-Gate,20,Open,None,49020,5543,97,06/07/2024 14:30,5.14,Z1
1084,06/06/2024 14:40,West,Regular,At-Gate,21,Open,None,49020,10364,97,06/07/2024 14:40,4.96,Z1
1085,06/06/2024 14:50,West,Regular,At-Gate,26,Open,None,49020,3401,97,06/07/2024 14:50,3.66,Z10
1086,06/06/2024 15:00,West,Regular,At-Gate,18,Open,None,49020,14043,97,06/07/2024 15:00,3.91,Z4
1087,06/06/2024 15:10,West,Regular,At-Gate,21,Open,None,49020,5025,97,06/07/2024 15:10,7.05,Z3
1088,06/06/2024 15:20,West,Regular,Pre,24,Open,None,49020,4703,97,06/07/2024 15:20,4.42,Z9
1089,06/06/2024 15:30,West,Regular,At-Gate,22,Open,None,49020,7757,97,06/07/2024 15:30,5.14,Z7
1090,06/06/2024 15:40,West,Regular,At-Gate,16,Open,None,49020,12218,97,06/07/2024 15:40,3.42,Z5
1091,06/06/2024 15:50,West,Regular,Pre,13,Open,None,49020,11812,97,06/07/2024 15:50,3.41,Z2
1092,06/06/2024 16:00,West,Regular,At-Gate,16,Open,None,49020,10258,97,06/07/2024 16:00,3.04,Z3
1093,06/06/2024 16:10,West,Regular,At-Gate,18,Open,None,49020,13307,97,06/07/2024 16:10,4.69,Z10
1094,06/06/2024 16:20,West,Regular,At-Gate,18,Open,None,49020,7737,97,06/07/2024 16:20,6.66,Z8
1095,06/06/2024 16:30,West,Regular,At-Gate,7,Open,None,49020,13167,97,06/07/2024 16:30,4.01,Z4
1096,06/06/2024 16:40,West,Regular,At-Gate,16,Open,None,49020,7493,97,06/07/2024 16:40,5.92,Z10
1097,06/06/2024 16:50,West,Regular,Pre,13,Open,None,49020,9024,97,06/07/2024 16:50,6.72,Z7
1098,06/06/2024 17:00,West,Regular,Pre,21,Open,None,49020,15150,97,06/07/2024 17:00,3.92,Z9
1099,06/06/2024 17:10,West,Regular,Pre,5,Open,None,49020,9533,97,06/07/2024 17:10,4.81,Z5
1100,06/07/2024 10:00,East,Regular,Pre,20,Open,None,58412,8167,93,06/08/2024 10:00,6.42,Z6
1101,06/07/2024 10:10,East,Regular,Pre,15,Open,None,58412,10587,93,06/08/2024 10:10,3.1,Z2
1102,06/07/2024 10:20,East,Regular,At-Gate,13,Open,None,58412,12238,93,06/08/2024 10:20,7.48,Z5
1103,06/07/2024 10:30,East,Regular,Pre,24,Open,None,58412,10820,93,06/08/2024 10:30,4.83,Z8
1104,06/07/2024 10:40,East,Regular,Pre,17,Open,None,58412,9543,93,06/08/2024 10:40,7.31,Z6
1105,06/07/2024 10:50,East,Regular,At-Gate,11,Open,None,58412,13568,93,06/08/2024 10:50,5.82,Z2
1106,06/07/2024 11:00,East,Regular,At-Gate,16,Open,None,58412,8577,93,06/08/2024 11:00,7.7,Z2
1107,06/07/2024 11:10,East,Regular,Pre,15,Open,None,58412,2475,93,06/08/2024 11:10,4.63,Z2
1108,06/07/2024 11:20,East,Regular,Pre,9,Open,None,58412,9978,93,06/08/2024 11:20,6.45,Z8
1109,06/07/2024 11:30,East,Regular,Pre,14,Open,None,58412,3890,93,06/08/2024 11:30,6.7,Z7
1110,06/07/2024 11:40,East,Regular,Pre,20,Open,None,58412,11852,93,06/08/2024 11:40,3.21,Z6
1111,06/07/2024 11:50,East,Regular,At-Gate,10,Open,None,58412,13627,93,06/08/2024 11:50,7.72,Z7
1112,06/07/2024 12:00,East,Regular,At-Gate,17,Open,None,58412,9168,93,06/08/2024 12:00,3.47,Z6
1113,06/07/2024 12:10,East,Regular,Pre,23,Open,None,58412,8756,93,06/08/2024 12:10,7.53,Z5
1114,06/07/2024 12:20,East,Regular,Pre,20,Open,None,58412,12621,93,06/08/2024 12:20,3.39,Z8
1115,06/07/2024 12:30,East,Regular,At-Gate,18,Open,None,58412,12408,93,06/08/2024 12:30,3.19,Z4
1116,06/07/2024 12:40,East,Regular,Pre,12,Open,None,58412,9712,93,06/08/2024 12:40,7.86,Z7
1117,06/07/2024 12:50,East,Regular,Pre,17,Open,None,58412,7763,93,06/08/2024 12:50,5.46,Z10
1118,06/07/2024 13:00,East,Regular,At-Gate,21,Open,None,58412,10004,93,06/08/2024 13:00,5.71,Z5
1119,06/07/2024 13:10,East,Regular,Pre,21,Open,None,58412,9583,93,06/08/2024 13:10,7.66,Z2
1120,06/08/2024 12:00,South,Economy,Pre,12,Open,None,51420,15583,84,06/09/2024 12:00,4.84,Z2
1121,06/08/2024 12:10,South,Economy,At-Gate,18,Open,None,51420,7345,84,06/09/2024 12:10,7.4,Z6
1122,06/08/2024 12:20,South,Economy,Pre,14,Open,None,51420,7857,84,06/09/2024 12:20,7.36,Z6
1123,06/08/2024 12:30,South,Economy,Pre,18,Open,None,51420,11693,84,06/09/2024 12:30,4.53,Z9
1124,06/08/2024 12:40,South,Economy,Pre,13,Open,None,51420,20000,84,06/09/2024 12:40,5.74,Z2
1125,06/08/2024 12:50,South,Economy,At-Gate,19,Open,None,51420,11526,84,06/09/2024 12:50,7.02,Z10
1126,06/08/2024 13:00,South,Economy,Pre,17,Open,None,51420,10855,84,06/09/2024 13:00,6.56,Z9
1127,06/08/2024 13:10,South,Economy,Pre,14,Open,None,51420,10466,84,06/09/2024 13:10,5.57,Z1
1128,06/08/2024 13:20,South,Economy,Pre,15,Open,None,51420,15758,84,06/09/2024 13:20,6.67,Z1
1129,06/08/2024 13:30,South,Economy,At-Gate,20,Open,None,51420,6518,84,06/09/2024 13:30,5.3,Z4
1130,06/08/2024 13:40,South,Economy,Pre,11,Open,None,51420,12571,84,06/09/2024 13:40,4.26,Z3
1131,06/08/2024 13:50,South,Economy,At-Gate,20,Open,None,51420,9911,84,06/09/2024 13:50,6.31,Z10
1132,06/08/2024 14:00,South,Economy,Pre,26,Open,None,51420,8380,84,06/09/2024 14:00,3.1,Z6
1133,06/08/2024 14:10,South,Economy,Pre,12,Open,None,51420,10147,84,06/09/2024 14:10,4.78,Z4
1134,06/08/2024 14:20,South,Economy,At-Gate,12,Open,None,51420,8843,84,06/09/2024 14:20,3.44,Z8
1135,06/08/2024 14:30,South,Economy,At-Gate,19,Open,None,51420,13182,84,06/09/2024 14:30,5.81,Z4
1136,06/08/2024 14:40,South,Economy,At-Gate,18,Open,None,51420,5594,84,06/09/2024 14:40,7.41,Z3
1137,06/08/2024 14:50,South,Economy,Pre,13,Open,None,51420,8405,84,06/09/2024 14:50,7.42,Z5
1138,06/08/2024 15:00,South,Economy,At-Gate,14,Open,None,51420,11520,84,06/09/2024 15:00,3.79,Z7
1139,06/08/2024 15:10,South,Economy,Pre,18,Open,None,51420,10626,84,06/09/2024 15:10,4.13,Z2
1140,06/09/2024 12:00,West,Economy,Pre,12,Open,None,59148,8809,94,06/10/2024 12:00,4.07,Z10
1141,06/09/2024 12:10,West,Economy,Pre,16,Open,None,59148,9510,94,06/10/2024 12:10,4.84,Z9
1142,06/09/2024 12:20,West,Economy,At-Gate,20,Open,None,59148,9478,94,06/10/2024 12:20,7.92,Z7
1143,06/09/2024 12:30,West,Economy,At-Gate,18,Open,None,59148,10690,94,06/10/2024 12:30,6.04,Z6
1144,06/09/2024 12:40,West,Economy,At-Gate,14,Open,None,59148,11719,94,06/10/2024 12:40,5.15,Z3
1145,06/09/2024 12:50,West,Economy,At-Gate,14,Open,None,59148,14026,94,06/10/2024 12:50,7.64,Z8
1146,06/09/2024 13:00,West,Economy,Pre,8,Open,None,59148,11009,94,06/10/2024 13:00,5.3,Z2
1147,06/09/2024 13:10,West,Economy,At-Gate,17,Open,None,59148,8746,94,06/10/2024 13:10,5.19,Z4
1148,06/09/2024 13:20,West,Economy,Pre,15,Open,None,59148,8725,94,06/10/2024 13:20,6.78,Z2
1149,06/09/2024 13:30,West,Economy,Pre,17,Open,None,59148,8874,94,06/10/2024 13:30,5.1,Z6
1150,06/09/2024 13:40,West,Economy,At-Gate,10,Open,None,59148,9404,94,06/10/2024 13:40,5.5,Z5
1151,06/09/2024 13:50,West,Economy,At-Gate,9,Open,None,59148,10117,94,06/10/2024 13:50,6.48,Z8
1152,06/09/2024 14:00,West,Economy,At-Gate,17,Open,None,59148,5479,94,06/10/2024 14:00,6.38,Z3
1153,06/09/2024 14:10,West,Economy,At-Gate,11,Open,None,59148,14686,94,06/10/2024 14:10,3.76,Z10
1154,06/09/2024 14:20,West,Economy,At-Gate,13,Open,None,59148,5397,94,06/10/2024 14:20,3.82,Z10
1155,06/09/2024 14:30,West,Economy,Pre,10,Open,None,59148,6426,94,06/10/2024 14:30,7.04,Z3
1156,06/09/2024 14:40,West,Economy,At-Gate,14,Open,None,59148,10929,94,06/10/2024 14:40,6.62,Z9
1157,06/09/2024 14:50,West,Economy,Pre,15,Open,None,59148,6336,94,06/10/2024 14:50,4.44,Z10
1158,06/09/2024 15:00,West,Economy,Pre,9,Open,None,59148,14905,94,06/10/2024 15:00,6.03,Z7
1159,06/09/2024 15:10,West,Economy,Pre,18,Open,None,59148,9891,94,06/10/2024 15:10,6.68,Z7
1160,06/10/2024 12:00,South,Economy,Pre,17,Open,None,62219,4825,100,06/11/2024 12:00,3.08,Z10
1161,06/10/2024 12:10,South,Economy,At-Gate,10,Open,None,62219,10837,100,06/11/2024 12:10,3.47,Z3
1162,06/10/2024 12:20,South,Economy,At-Gate,11,Open,None,62219,9937,100,06/11/2024 12:20,5.73,Z6
1163,06/10/2024 12:30,South,Economy,At-Gate,18,Open,None,62219,6424,100,06/11/2024 12:30,5.75,Z10
1164,06/10/2024 12:40,South,Economy,At-Gate,17,Closed,Blockage,62219,20000,100,06/11/2024 12:40,4.6,Z9
1165,06/10/2024 12:50,South,Economy,Pre,26,Closed,Blockage,62219,11997,100,06/11/2024 12:50,7.34,Z2
1166,06/10/2024 13:00,South,Economy,At-Gate,19,Closed,Blockage,62219,12422,100,06/11/2024 13:00,7.53,Z4
1167,06/10/2024 13:10,South,Economy,Pre,15,Open,None,62219,15730,100,06/11/2024 13:10,6.22,Z7
1168,06/10/2024 13:20,South,Economy,Pre,18,Open,None,62219,7381,100,06/11/2024 13:20,6.97,Z7
1169,06/10/2024 13:30,South,Economy,At-Gate,16,Open,None,62219,15375,100,06/11/2024 13:30,7.36,Z7
1170,06/10/2024 13:40,South,Economy,At-Gate,19,Open,None,62219,4157,100,06/11/2024 13:40,5.66,Z10
1171,06/10/2024 13:50,South,Economy,At-Gate,17,Open,None,62219,10644,100,06/11/2024 13:50,6.91,Z5
1172,06/10/2024 14:00,South,Economy,Pre,16,Open,None,62219,10424,100,06/11/2024 14:00,7.95,Z4
1173,06/10/2024 14:10,South,Economy,Pre,18,Open,None,62219,8090,100,06/11/2024 14:10,5.48,Z5
1174,06/10/2024 14:20,South,Economy,At-Gate,23,Open,None,62219,12254,100,06/11/2024 14:20,3.9,Z9
1175,06/10/2024 14:30,South,Economy,At-Gate,14,Open,None,62219,7376,100,06/11/2024 14:30,7.63,Z5
1176,06/10/2024 14:40,South,Economy,Pre,16,Open,None,62219,13109,100,06/11/2024 14:40,5.33,Z2
1177,06/10/2024 14:50,South,Economy,Pre,19,Open,None,62219,6180,100,06/11/2024 14:50,4.24,Z1
1178,06/10/2024 15:00,South,Economy,At-Gate,16,Open,None,62219,15522,100,06/11/2024 15:00,3.1,Z3
1179,06/10/2024 15:10,South,Economy,At-Gate,16,Open,None,62219,18180,100,06/11/2024 15:10,7.88,Z5
1180,06/11/2024 10:00,East,Regular,At-Gate,15,Open,None,57726,10255,96,06/12/2024 10:00,3.53,Z1
1181,06/11/2024 10:10,East,Regular,Pre,20,Open,None,57726,13585,96,06/12/2024 10:10,7.56,Z3
1182,06/11/2024 10:20,East,Regular,Pre,12,Open,None,57726,5791,96,06/12/2024 10:20,5.67,Z2
1183,06/11/2024 10:30,East,Regular,Pre,20,Open,None,57726,13115,96,06/12/2024 10:30,4.7,Z6
1184,06/11/2024 10:40,East,Regular,Pre,7,Open,None,57726,12865,96,06/12/2024 10:40,7.37,Z1
1185,06/11/2024 10:50,East,Regular,Pre,18,Open,None,57726,9243,96,06/12/2024 10:50,5.1,Z2
1186,06/11/2024 11:00,East,Regular,At-Gate,19,Open,None,57726,15309,96,06/12/2024 11:00,5.87,Z9
1187,06/11/2024 11:10,East,Regular,Pre,10,Open,None,57726,10561,96,06/12/2024 11:10,3.4,Z1
1188,06/11/2024 11:20,East,Regular,At-Gate,14,Open,None,57726,6910,96,06/12/2024 11:20,5.68,Z7
1189,06/11/2024 11:30,East,Regular,Pre,19,Open,None,57726,11420,96,06/12/2024 11:30,6.75,Z4
1190,06/11/2024 11:40,East,Regular,Pre,5,Open,None,57726,17295,96,06/12/2024 11:40,6.91,Z3
1191,06/11/2024 11:50,East,Regular,Pre,16,Open,None,57726,5327,96,06/12/2024 11:50,6.07,Z7
1192,06/11/2024 12:00,East,Regular,At-Gate,23,Closed,Blockage,57726,13532,96,06/12/2024 12:00,7.87,Z2
1193,06/11/2024 12:10,East,Regular,At-Gate,19,Closed,Blockage,57726,13721,96,06/12/2024 12:10,6.08,Z8
1194,06/11/2024 12:20,East,Regular,Pre,18,Closed,Blockage,57726,12675,96,06/12/2024 12:20,5.63,Z3
1195,06/11/2024 12:30,East,Regular,At-Gate,12,Open,None,57726,7377,96,06/12/2024 12:30,6.41,Z2
1196,06/11/2024 12:40,East,Regular,At-Gate,11,Open,None,57726,11447,96,06/12/2024 12:40,6.03,Z4
1197,06/11/2024 12:50,East,Regular,Pre,15,Open,None,57726,3890,96,06/12/2024 12:50,6.32,Z3
1198,06/11/2024 13:00,East,Regular,At-Gate,8,Open,None,57726,7494,96,06/12/2024 13:00,3.34,Z8
1199,06/11/2024 13:10,East,Regular,At-Gate,21,Open,None,57726,12980,96,06/12/2024 13:10,5.8,Z7
1200,06/12/2024 14:00,South,Regular,Pre,22,Open,None,51515,7730,94,06/13/2024 14:00,3.39,Z4
1201,06/12/2024 14:10,South,Regular,At-Gate,23,Open,None,51515,7263,94,06/13/2024 14:10,5.72,Z10
1202,06/12/2024 14:20,South,Regular,Pre,14,Open,None,51515,13435,94,06/13/2024 14:20,3.93,Z3
1203,06/12/2024 14:30,South,Regular,At-Gate,14,Open,None,51515,5896,94,06/13/2024 14:30,5.62,Z5
1204,06/12/2024 14:40,South,Regular,Pre,18,Open,None,51515,6567,94,06/13/2024 14:40,3.79,Z3
1205,06/12/2024 14:50,South,Regular,At-Gate,12,Open,None,51515,10609,94,06/13/2024 14:50,3.78,Z2
1206,06/12/2024 15:00,South,Regular,Pre,14,Open,None,51515,11511,94,06/13/2024 15:00,6.41,Z6
1207,06/12/2024 15:10,South,Regular,At-Gate,14,Open,None,51515,13481,94,06/13/2024 15:10,6.55,Z5
1208,06/12/2024 15:20,South,Regular,Pre,17,Open,None,51515,10562,94,06/13/2024 15:20,5.72,Z6
1209,06/12/2024 15:30,South,Regular,Pre,28,Open,None,51515,7592,94,06/13/2024 15:30,4.9,Z5
1210,06/12/2024 15:40,South,Regular,At-Gate,20,Open,None,51515,12108,94,06/13/2024 15:40,4.86,Z10
1211,06/12/2024 15:50,South,Regular,Pre,9,Open,None,51515,2347,94,06/13/2024 15:50,4.98,Z6
1212,06/12/2024 16:00,South,Regular,At-Gate,19,Open,None,51515,8658,94,06/13/2024 16:00,5.7,Z1
1213,06/12/2024 16:10,South,Regular,At-Gate,18,Open,None,51515,12895,94,06/13/2024 16:10,7.17,Z8
1214,06/12/2024 16:20,South,Regular,Pre,19,Open,None,51515,8981,94,06/13/2024 16:20,6.23,Z1
1215,06/12/2024 16:30,South,Regular,Pre,8,Open,None,51515,13271,94,06/13/2024 16:30,6.9,Z10
1216,06/12/2024 16:40,South,Regular,At-Gate,19,Open,None,51515,8598,94,06/13/2024 16:40,4.48,Z6
1217,06/12/2024 16:50,South,Regular,At-Gate,15,Open,None,51515,10648,94,06/13/2024 16:50,6.05,Z10
1218,06/12/2024 17:00,South,Regular,At-Gate,7,Open,None,51515,8681,94,06/13/2024 17:00,7.8,Z1
1219,06/12/2024 17:10,South,Regular,At-Gate,12,Open,None,51515,2303,94,06/13/2024 17:10,6.4,Z6
1220,06/13/2024 12:00,West,Economy,At-Gate,17,Open,None,59764,12322,92,06/14/2024 12:00,3.94,Z4
1221,06/13/2024 12:10,West,Economy,Pre,19,Open,None,59764,10271,92,06/14/2024 12:10,6.24,Z7
1222,06/13/2024 12:20,West,Economy,Pre,16,Open,None,59764,7763,92,06/14/2024 12:20,7.48,Z9
1223,06/13/2024 12:30,West,Economy,At-Gate,14,Open,None,59764,14502,92,06/14/2024 12:30,5.19,Z4
1224,06/13/2024 12:40,West,Economy,Pre,10,Open,None,59764,13445,92,06/14/2024 12:40,3.16,Z6
1225,06/13/2024 12:50,West,Economy,Pre,23,Open,None,59764,3827,92,06/14/2024 12:50,6.51,Z8
1226,06/13/2024 13:00,West,Economy,Pre,14,Open,None,59764,12052,92,06/14/2024 13:00,3.23,Z4
1227,06/13/2024 13:10,West,Economy,Pre,23,Open,None,59764,11766,92,06/14/2024 13:10,3.51,Z9
1228,06/13/2024 13:20,West,Economy,At-Gate,8,Open,None,59764,8564,92,06/14/2024 13:20,6.62,Z9
1229,06/13/2024 13:30,West,Economy,At-Gate,21,Open,None,59764,7935,92,06/14/2024 13:30,7.11,Z5
1230,06/13/2024 13:40,West,Economy,At-Gate,13,Open,None,59764,11128,92,06/14/2024 13:40,4.56,Z8
1231,06/13/2024 13:50,West,Economy,Pre,19,Open,None,59764,9286,92,06/14/2024 13:50,7.83,Z6
